Company,Sector,Headquarters,Amount,Funding_Round_Type,Lead_Investors
Even Healthcare,Managed Care,Bengaluru,$30 million,Series A,"Khosla Ventures, Founders Fund, 8VC, Lachy Groom"
Stellapps,Dairy Tech Solutions,Bengaluru,$26 million,Equity and Debt Funding Round,"Blume Ventures, Omnivore, Bill & Melinda Gates Foundation, IDH Farmfit Fund, 500 Global, Blue Ashva Capital, Miledeep Capital"
Healthify,Health & Wellness,Bengaluru,$20 million,New Funding Round,"Khosla Ventures, LeapFrog Investments"
Zouk,D2C Bags & Luggage,Mumbai,$10 million,Series B,"Aavishkaar Group, Stellaris Venture Partners, Titan Capital, Sharrp Ventures, JJ Family"
OLOID,Workplace Tech,Bengaluru,$6 million,Series A1,"Yaletown Partners, Exposition Ventures, George Kaiser Family Foundation, Carya Ventures"
Yu,Consumer Food,Gurugram,Rs 55 crore,Series B,"Ashish Kacholia, Asian Promoter Group"
GlobalBees Brands,E-commerce,New Delhi,Rs 4.5 crore,Investment,Dynamic IT Solution Private Limited (Subsidiary of Brainbees Solutions)
WishNew Wellness,Wellness,New Delhi,"$250,000",Angel Round,"Ankit Khnadelwal, Gyanesh Sharma (DotPe), Abhijeet Rana, Ashish Singh"
NG Earsafe,Healthtech,Rajkot,Rs 1.06 crore,Seed Round,Inflection Point Ventures
Purplle,Beauty & Personal Care,Mumbai,"Rs 1,500 crore ($180M)",Series F,"Abu Dhabi Investment Authority (ADIA), Premji Invest, Blume Ventures"
Eruditus,Edtech,Singapore,$150 million,Series F,TPG’s The Rise Fund
Neuron7.ai,Cloud-based Service Intelligence,United States,$44 million,Series B,Smith Point Capital
Haber Nets,AI-Driven Robotics,Mumbai,$38 million,New Funding Round,"Creaegis, Accel, BEENEXT Capital"
Everstage,Sales Performance Management Software,Chennai,$30 million,Series B,"Eight Roads Ventures, Elevation Capital, 3one4 Capital"
GIVA,Jewelry,Bengaluru,Rs 255 crore,Extended Series B,"Premji Invest, Epiq Capital, Edelweiss Discover Fund"
Primus Senior Living,Elder Care,Bengaluru,$20 million,Seed Round,"General Catalyst, Nikhil Kamath (Zerodha), Gruhas"
Sistema.bio,Biogas-Tech,Pune,$15 million,New Funding Round,"ElectriFI, Chroma Impact Investment, KawiSafi Ventures, AXA IM Alts"
SPRY Therapeutics,SaaS - Physical Therapy,Mumbai,$15 million,New Funding Round,"Flourish Ventures, Together Fund, Fidelity’s Eight Roads, F-prime Capital"
Anicut Capital,Alternative Asset Management,Chennai,$11 million,Private Credit Fund 3,GIFT City Structure
Troo Good,Millet-Based Snacks,Hyderabad,$9 million,New Funding Round,"Puro Wellness, Oaks Asset Management, V Ocean Investments"
WROGN,Men’s Apparel,Bengaluru,Rs 75 crore ($9 million),New Funding Round,Aditya Birla Digital Fashion Ventures Ltd (ABDFVL)
Slice,Fintech,Bengaluru,Rs 71.7 crore ($8.6 million),New Funding Round,Rajan Bajaj (Founder & CEO)
Simplismart,Tech,Bengaluru,$7 million,Series A Round,"Accel, Shastra VC, Titan Capital, Akshay Kothari (Notion Co-founder)"
XDLINX Space Labs,Spacetech,Hyderabad,$7 million,Seed Round,"Ashish Kacholia (Lucky Investments), E2MC, Mana Ventures"
Dezy,Health-Tech,Bengaluru,$6 million,Additional Funding,"Alphawave, Chiratae Ventures, Peak XV’s Surge"
Suraasa,Edtech - Teacher Training,Gurugram,$6 million,New Funding Round,"Reach Capital, ETS Capital, NB Ventures, TSM Ventures, TRTL Ventures"
Budy.bot,AI,India,$4.2 million,New Funding Round,RTP Global
Wokelo,Due Diligence Tech,New Delhi,$4 million,New Funding Round,Not disclosed
AGNIT Semiconductors,Semiconductors,Bengaluru,$3.5 million,Seed Round,"3one4 Capital, Zephyr Peacock"
Yoho,Footwear,Delhi,Rs 27 crore,New Funding Round,Gulf Islamic Investments (GII)
Red Fort Capital,NBFC,Mumbai,Rs 22.6 crore,Debt Funding,Debt Round
Perceptyne,Deep Tech AI & Robotics,Telangana,$3 million,Seed Round,"Endiya Partners, Yali Capital, Whiteboard Capital"
Frammer AI,Video Content Creation,New Delhi,$2 million,New Funding Round,Lumikai
Febi.ai,Accounting & Tax Management SaaS,Gurgaon,$2 million,Pre-Series A Round,"Lumis Partners, Virender Rana, Amit Chaudhary (Lenskart), Rohan Bhargava (Cashkaro)"
Nayan Tech,AI for Smart City Solutions,New Delhi,$2 million,Pre-Series A Round,"BEENEXT, We Founder Circle, Venture Catalysts, Lets Venture, FAAD Capital"
Data Science Wizards,AI Innovation,Mumbai,$1.4 million,Seed Round,Not disclosed
Sorich,Pharmaceutical Packaging,New Delhi,$1 million,Pre-IPO Funding,BizDateUp
Elixia Robotics,Logistics Automation,Mumbai,$1 million,Pre-Series A Round,JITO Incubation and Innovation Foundation (JIIF)
Tablesprint,No-Code App Builder,Pune,$1 million,Seed Round,"Angel Investors (Ankit Bhati, Ajeet Khurana, etc.)"
Holiday Tribe,Travel-Tech,Delhi,Rs 5.4 crore,Seed Round,"Powerhouse Ventures, GSF, Dinesh Agarwal (IndiaMart), Murugavel Janakiraman (BharatMatrimony)"
Lifechart,Gut Wellness,Gurugram,"$500,000",New Funding Round,"Prajay Advisors LLP, Angel Investors"
iRasus Technologies,Energy Analytics,Gurugram,Rs 4 crore,Seed Round,"Rohit Rajput, Srikar Reddy (IAN Angel), DFAN, Other Angel Investors"
Flutrr,Vernacular Dating App,Kolkata,Rs 3.75 crore,Investment in Startup,Zee Media
Social Hardware,Assistive Devices,Bengaluru,Rs 3.2 crore,Seed Round,"Inflection Point Ventures, Ivyleague Ventures, Soonicorn Ventures"
Alchemyst AI,Gen-AI SaaS,Mumbai,"$300,000",Pre-Seed Round,"Inflection Point Ventures, 100Unicorns, Early Seed Ventures"
Beaute Secrets,Beauty Tools,Gurugram,Rs 1.6 crore,Cash Flow Financing,Velocity (Cash Flow Financing Platform)
Millenium Babycares,Hygiene care,Indore,Rs 120 crore,Private Placement Round,Bharat Value Fund
Economy Process Solutions,Vacuum systems and process equipment,Mumbai,Rs 100 crore ($12 million),Series A,Stakeboat Capital Fund II
Urja Mobility,EV Battery Leasing,New Delhi,Rs 100 crore ($12 million),Pre-Series A,Hindon Mercantil and Mufin Green Finance
Bio Prime,Agribiotech,Pune,$6 million,Series A,"Edaphon, Omnivore, Inflexor"
